run_name,model,augmentation,lr,batch_size,optimizer,scheduler,epochs,status,best_epoch,best_val_acc,lastEpoch_val_acc,epochs_nums,total_time_sec,device,eval_accuracy,val_metrics_json
resnet_aug-light_lr-0.0005_bs-128_opt-adamw_sch-plateau_ep-50,resnet,light,0.0005,128,adamw,plateau,50,ok,7,0.9888,0.9878,17,348.7942566871643,cuda,0.9888,outputs/grid_search_fixed_ep50_bs128/resnet_aug-light_lr-0.0005_bs-128_opt-adamw_sch-plateau_ep-50/val_metrics.json
resnet_aug-light_lr-5e-05_bs-128_opt-adam_sch-plateau_ep-50,resnet,light,5e-05,128,adam,plateau,50,ok,13,0.9888,0.9878,23,469.73723697662354,cuda,0.9888,outputs/grid_search_fixed_ep50_bs128/resnet_aug-light_lr-5e-05_bs-128_opt-adam_sch-plateau_ep-50/val_metrics.json
resnet_aug-light_lr-5e-05_bs-128_opt-adamw_sch-plateau_ep-50,resnet,light,5e-05,128,adamw,plateau,50,ok,13,0.9888,0.9878,23,460.92774081230164,cuda,0.9888,outputs/grid_search_fixed_ep50_bs128/resnet_aug-light_lr-5e-05_bs-128_opt-adamw_sch-plateau_ep-50/val_metrics.json
resnet_aug-strong_lr-0.001_bs-128_opt-adam_sch-plateau_ep-50,resnet,strong,0.001,128,adam,plateau,50,ok,27,0.9888,0.988,37,1267.3418173789978,cuda,0.9888,outputs/grid_search_fixed_ep50_bs128/resnet_aug-strong_lr-0.001_bs-128_opt-adam_sch-plateau_ep-50/val_metrics.json
resnet_aug-strong_lr-5e-05_bs-128_opt-adamw_sch-plateau_ep-50,resnet,strong,5e-05,128,adamw,plateau,50,ok,13,0.9886,0.988,23,779.2268829345703,cuda,0.9886,outputs/grid_search_fixed_ep50_bs128/resnet_aug-strong_lr-5e-05_bs-128_opt-adamw_sch-plateau_ep-50/val_metrics.json
resnet_aug-light_lr-0.0005_bs-128_opt-adam_sch-plateau_ep-50,resnet,light,0.0005,128,adam,plateau,50,ok,20,0.9884,0.988,30,619.6277024745941,cuda,0.9884,outputs/grid_search_fixed_ep50_bs128/resnet_aug-light_lr-0.0005_bs-128_opt-adam_sch-plateau_ep-50/val_metrics.json
resnet_aug-strong_lr-5e-05_bs-128_opt-adam_sch-plateau_ep-50,resnet,strong,5e-05,128,adam,plateau,50,ok,16,0.9884,0.9884,26,887.3686547279358,cuda,0.9884,outputs/grid_search_fixed_ep50_bs128/resnet_aug-strong_lr-5e-05_bs-128_opt-adam_sch-plateau_ep-50/val_metrics.json
resnet_aug-light_lr-0.0005_bs-128_opt-adamw_sch-cosine_ep-50,resnet,light,0.0005,128,adamw,cosine,50,ok,9,0.9882,0.987,19,393.1750838756561,cuda,0.9882,outputs/grid_search_fixed_ep50_bs128/resnet_aug-light_lr-0.0005_bs-128_opt-adamw_sch-cosine_ep-50/val_metrics.json
resnet_aug-light_lr-0.001_bs-128_opt-adamw_sch-cosine_ep-50,resnet,light,0.001,128,adamw,cosine,50,ok,9,0.9882,0.9862,19,391.7529993057251,cuda,0.9882,outputs/grid_search_fixed_ep50_bs128/resnet_aug-light_lr-0.001_bs-128_opt-adamw_sch-cosine_ep-50/val_metrics.json
resnet_aug-strong_lr-0.0005_bs-128_opt-adam_sch-plateau_ep-50,resnet,strong,0.0005,128,adam,plateau,50,ok,18,0.9882,0.9876,28,954.0610616207123,cuda,0.9882,outputs/grid_search_fixed_ep50_bs128/resnet_aug-strong_lr-0.0005_bs-128_opt-adam_sch-plateau_ep-50/val_metrics.json
resnet_aug-strong_lr-0.0005_bs-128_opt-adamw_sch-cosine_ep-50,resnet,strong,0.0005,128,adamw,cosine,50,ok,11,0.9882,0.9862,21,710.8445017337799,cuda,0.9882,outputs/grid_search_fixed_ep50_bs128/resnet_aug-strong_lr-0.0005_bs-128_opt-adamw_sch-cosine_ep-50/val_metrics.json
resnet_aug-light_lr-0.001_bs-128_opt-adam_sch-plateau_ep-50,resnet,light,0.001,128,adam,plateau,50,ok,8,0.9874,0.9874,18,392.8802833557129,cuda,0.9874,outputs/grid_search_fixed_ep50_bs128/resnet_aug-light_lr-0.001_bs-128_opt-adam_sch-plateau_ep-50/val_metrics.json
resnet_aug-strong_lr-0.001_bs-128_opt-adam_sch-cosine_ep-50,resnet,strong,0.001,128,adam,cosine,50,ok,14,0.9866,0.9858,24,816.944629907608,cuda,0.9866,outputs/grid_search_fixed_ep50_bs128/resnet_aug-strong_lr-0.001_bs-128_opt-adam_sch-cosine_ep-50/val_metrics.json
